ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	ActivitiesTableVerification	ui-label	Document Number	Document Number	Номер документа	Document Number
UiSchema	ActivitiesTableVerification	ui-label	Assignee	Assignee	Исполнитель	Assignee
UiSchema	ActivitiesTableVerification	ui-label	AssigneeLogin	AssigneeLogin	Логин исполнителя	AssigneeLogin
UiSchema	ActivitiesTableVerification	ui-label	Task status	Task status	Статус задачи	Task Status
UiSchema	ActivitiesTableVerification	ui-label	documentStateLocalized	documentStateLocalized	Статус документа	documentStateLocalized
UiSchema	ActivitiesTableVerification	ui-label	createdDate	createdDate	Дата открытия	createdDate
UiSchema	ActivitiesTableVerification	ui-label	closedDate	closedDate	Дата закрытия	closedDate
UiSchema	ActivitiesTableVerification	ui-label	partnerName	partnerName	Партнер	partnerName
UiSchema	ActivitiesTableVerification	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	ActivitiesTableVerification	ui-label	issueDate	issueDate	Дата заключения	issueDate
UiSchema	ActivitiesTableVerification	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ActivitiesTableVerification	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ActivitiesTableVerification	ui-label	paymentFrequencyName	paymentFrequencyName	Периодичность оплаты	paymentFrequencyName
UiSchema	ActivitiesTableVerification	ui-label	productName	productName	Продукт	productName
UiSchema	ActivitiesTableVerification	ui-label	contractState	contractState	Статус договора	contractState
UiSchema	ActivitiesTableVerification	ui-label	holderName	holderName	Страхователь	holderName
UiSchema	ActivitiesTableVerification	ui-label	holderAge	holderAge	Возраст страхователя	holderAge
UiSchema	ActivitiesTableVerification	ui-label	holderBirthDate	holderBirthDate	Дата рождения страхователя	holderBirthDate
UiSchema	ActivitiesTableVerification	ui-label	productGroup	productGroup	Группа продуктов	productGroup
