ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CurrentUserActivitiesSearchView	rootConfiguration	CurrentUserActivitiesSearchView@Title	CurrentUserActivitiesSearchView	Поиск текущих действий пользователей	Current User Activities Search
ViewConfiguration	CurrentUserActivitiesSearchView	actors	Agent	Agent	Агент	Agent
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	activityStatus	activityStatus	Статус задачи	activityStatus
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	businessNumber	businessNumber	Номер документа	businessNumber
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	createdOnFrom	createdOnFrom	Дата открытия, с	createdOnFrom
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	createdOnTo	createdOnTo	Дата открытия, по	createdOnTo
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	showVerification	showVerification	Верификаторы вложений	showVerification
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	holderName	holderName	Страхователь	holderName
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	insuredName	insuredName	Застрахованный	insuredName
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата заключения, с	issueDateFrom
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	issueDateTo	issueDateTo	Дата заключения, по	issueDateTo
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	partner	partner	Партнер	partner
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	attachmentVerificationState	attachmentVerificationState	Статус документа	attachmentVerificationState
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	contractStates	contractStates	Статус договора	contractStates
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	closedOnFrom	closedOnFrom	Дата закрытия, с	closedOnFrom
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	closedOnTo	closedOnTo	Дата закрытия, по	closedOnTo
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	holderAgeFrom	holderAgeFrom	Возраст страхователя, с	holderAgeFrom
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	holderAgeTo	holderAgeTo	Возраст страхователя, по	holderAgeTo
UiSchema	CurrentUserActivitiesSearchViewFiltersContent	ui-label	hideUnassignedTasks	hideUnassignedTasks	Скрыть неназначенные задачи	hideUnassignedTasks
