ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	GroupActivitiesSearchView	rootConfiguration	GroupActivitiesSearchView@Title	GroupActivitiesSearchView	Просмотр поиска групповых занятий	Group Activities Search View
ViewConfiguration	GroupActivitiesSearchView	actors	Agent	Agent	Агент	Agent
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	groupCode	groupCode	Группа	groupCode
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	assigneeId	assigneeId	Правопреемник	assigneeId
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	activityStatus	activityStatus	Статус задачи	activityStatus
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	businessNumber	businessNumber	Номер документа	businessNumber
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	createdOnFrom	createdOnFrom	Дата открытия, с	createdOnFrom
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	createdOnTo	createdOnTo	Дата открытия, по	createdOnTo
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	Group Members	Group Members	Участники группы	Group Members
UiSchema	GroupActivitiesSearchViewResultsContent	ui-label	AssignToMyself	AssignToMyself	Назначить себе	Assign to Myself
UiSchema	GroupActivitiesSearchViewResultsContent	ui-label	Assign	Assign	Назначить	Assign
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	showVerification	showVerification	Верификаторы вложений	showVerification
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	holderName	holderName	Страхователь	holderName
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	insuredName	insuredName	Застрахованный	insuredName
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата заключения, с	issueDateFrom
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	issueDateTo	issueDateTo	Дата заключения, по	issueDateTo
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	partner	partner	Партнер	partner
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	attachmentVerificationState	attachmentVerificationState	Статус документа	attachmentVerificationState
UiSchema	GroupActivitiesSearchViewResultsContent	ui-label	Users in group lookup	Users in group lookup	Пользователи входящие в группу	Users in group lookup
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	closedOnFrom	closedOnFrom	Дата закрытия, с	closedOnFrom
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	closedOnTo	closedOnTo	Дата закрытия, по	closedOnTo
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	contractStates	contractStates	Статус договора	contractStates
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	holderAgeFrom	holderAgeFrom	Возраст страхователя, с	holderAgeFrom
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	holderAgeTo	holderAgeTo	Возраст страхователя, по	holderAgeTo
UiSchema	GroupActivitiesSearchViewFiltersContent	ui-label	hideUnassignedTasks	hideUnassignedTasks	Скрыть неназначенные задачи	hideUnassignedTasks
